"pixel_id","NDVI","Human_Modification","date","area_name","elevation","T_BIOME","Temperature_C","Precipitation_mm"
0,0.727,0.00455016596242785,1982-01-01,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
1,0.488,0.0407549329102039,1982-01-01,"Garden Route National Park",225,NA,17.2690216064453,1.42101645360526
2,0.488,0.0316145271062851,1982-01-01,"Garden Route National Park",225,NA,17.2690216064453,1.42101645360526
3,0.706,0.0446269735693932,1982-01-01,"Garden Route National Park",225,NA,18.2143341064453,1.12148821244773
4,0.727,0.00455319741740822,1982-01-01,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
5,0.745,0.00502338493242859,1982-01-01,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
6,0.754,0.00831060390919447,1982-01-01,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
7,0.681,0.0346299335360527,1982-01-01,"Garden Route National Park",225,NA,18.9155059814453,1.42748355756339
8,0.635,0.00499211670830845,1982-01-01,"Garden Route National Park",225,NA,18.8119903564453,1.36796831975516
10,0.668,0.00451926980167627,1982-01-01,"Garden Route National Park",225,NA,17.8686309814453,1.57678574214515
11,0.697,0.00663358252495527,1982-01-01,"Garden Route National Park",225,NA,17.1889434814453,1.34588479886588
12,0.724,0.0247415006160736,1982-01-01,"Garden Route National Park",225,NA,18.6069122314453,1.51553451905784
13,0.697,0.00469606183469295,1982-01-01,"Garden Route National Park",225,NA,17.9467559814453,1.51122063289222
14,0.588,0.00449166586622595,1982-01-01,"Garden Route National Park",225,NA,17.8686309814453,1.57678574214515
17,0.726,0.00582334026694297,1982-01-01,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
19,0.826,0.0120475627481937,1982-01-01,"Garden Route National Park",225,NA,18.4682403564453,1.31758004317817
20,0.727,0.031460378319025,1982-01-01,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
22,0.681,0.0248734205961227,1982-01-01,"Garden Route National Park",225,NA,18.9155059814453,1.42748355756339
23,0.826,0.0205586738884449,1982-01-01,"Garden Route National Park",225,NA,17.6967559814453,1.51266604552802
26,0.697,0.0047385492362082,1982-01-01,"Garden Route National Park",225,NA,17.1889434814453,1.34588479886588
27,0.617,0.103396765887737,1982-01-01,"Garden Route National Park",225,NA,19.1635528564453,0.928115843635169
28,0.668,0.0244722347706556,1982-01-01,"Garden Route National Park",225,NA,17.8686309814453,1.57678574214515
30,0.727,0.0152269508689642,1982-01-01,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
32,0.672,0.00414894102141261,1982-01-01,"Garden Route National Park",225,NA,17.5463653564453,1.68048292289313
34,0.726,0.0344111546874046,1982-01-01,"Garden Route National Park",225,NA,18.5307403564453,1.31038278232154
35,0.77,0.0053354175761342,1982-01-01,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
36,0.706,0.00657066376879811,1982-01-01,"Garden Route National Park",225,NA,18.2143341064453,1.12148821244773
37,0.726,0.0149390660226345,1982-01-01,"Garden Route National Park",225,NA,18.5307403564453,1.31038278232154
38,0.727,0.00451654708012938,1982-01-01,"Garden Route National Park",225,NA,17.5756622314453,1.1542484153324
39,0.727,0.00721712969243526,1982-01-01,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
0,0.754,0.00455016596242785,1982-01-02,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
1,0.528,0.0407549329102039,1982-01-02,"Garden Route National Park",225,NA,17.2690216064453,1.42101645360526
2,0.528,0.0316145271062851,1982-01-02,"Garden Route National Park",225,NA,17.2690216064453,1.42101645360526
3,0.726,0.0446269735693932,1982-01-02,"Garden Route National Park",225,NA,18.2143341064453,1.12148821244773
4,0.754,0.00455319741740822,1982-01-02,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
5,0.764,0.00502338493242859,1982-01-02,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
6,0.759,0.00831060390919447,1982-01-02,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
7,0.672,0.0346299335360527,1982-01-02,"Garden Route National Park",225,NA,18.9155059814453,1.42748355756339
8,0.662,0.00499211670830845,1982-01-02,"Garden Route National Park",225,NA,18.8119903564453,1.36796831975516
10,0.693,0.00451926980167627,1982-01-02,"Garden Route National Park",225,NA,17.8686309814453,1.57678574214515
11,0.711,0.00663358252495527,1982-01-02,"Garden Route National Park",225,NA,17.1889434814453,1.34588479886588
12,0.728,0.0247415006160736,1982-01-02,"Garden Route National Park",225,NA,18.6069122314453,1.51553451905784
13,0.711,0.00469606183469295,1982-01-02,"Garden Route National Park",225,NA,17.9467559814453,1.51122063289222
14,0.619,0.00449166586622595,1982-01-02,"Garden Route National Park",225,NA,17.8686309814453,1.57678574214515
17,0.795,0.00582334026694297,1982-01-02,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
19,0.806,0.0120475627481937,1982-01-02,"Garden Route National Park",225,NA,18.4682403564453,1.31758004317817
20,0.754,0.031460378319025,1982-01-02,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
22,0.672,0.0248734205961227,1982-01-02,"Garden Route National Park",225,NA,18.9155059814453,1.42748355756339
23,0.806,0.0205586738884449,1982-01-02,"Garden Route National Park",225,NA,17.6967559814453,1.51266604552802
26,0.711,0.0047385492362082,1982-01-02,"Garden Route National Park",225,NA,17.1889434814453,1.34588479886588
27,0.617,0.103396765887737,1982-01-02,"Garden Route National Park",225,NA,19.1635528564453,0.928115843635169
28,0.693,0.0244722347706556,1982-01-02,"Garden Route National Park",225,NA,17.8686309814453,1.57678574214515
30,0.754,0.0152269508689642,1982-01-02,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
32,0.694,0.00414894102141261,1982-01-02,"Garden Route National Park",225,NA,17.5463653564453,1.68048292289313
34,0.795,0.0344111546874046,1982-01-02,"Garden Route National Park",225,NA,18.5307403564453,1.31038278232154
35,0.779,0.0053354175761342,1982-01-02,"Garden Route National Park",225,NA,17.7905059814453,1.53090506682929
36,0.726,0.00657066376879811,1982-01-02,"Garden Route National Park",225,NA,18.2143341064453,1.12148821244773
37,0.795,0.0149390660226345,1982-01-02,"Garden Route National Park",225,NA,18.5307403564453,1.31038278232154
38,0.754,0.00451654708012938,1982-01-02,"Garden Route National Park",225,NA,17.5756622314453,1.1542484153324
39,0.754,0.00721712969243526,1982-01-02,"Garden Route National Park",225,NA,18.1069122314453,1.29937827477988
0,0.766,0.00455016596242785,1982-02-01,"Garden Route National Park",225,NA,18.9250885009766,1.33859626475896
1,0.516,0.0407549329102039,1982-02-01,"Garden Route National Park",225,NA,18.5090728759766,1.02730728212919
2,0.516,0.0316145271062851,1982-02-01,"Garden Route National Park",225,NA,18.5090728759766,1.02730728212919
3,0.728,0.0446269735693932,1982-02-01,"Garden Route National Park",225,NA,18.9602447509766,1.25611088697042
4,0.766,0.00455319741740822,1982-02-01,"Garden Route National Park",225,NA,18.9250885009766,1.33859626475896
5,0.78,0.00502338493242859,1982-02-01,"Garden Route National Park",225,NA,18.7610260009766,1.3912979466113
6,0.773,0.00831060390919447,1982-02-01,"Garden Route National Park",225,NA,18.7610260009766,1.3912979466113
7,0.681,0.0346299335360527,1982-02-01,"Garden Route National Park",225,NA,19.7180572509766,1.29832215134229
8,0.719,0.00499211670830845,1982-02-01,"Garden Route National Park",225,NA,19.6086822509766,1.24702862922277
